"title","sales_price","original_price","discount"
"Hp Refurbished EliteBook 840 G6 Intel Core I5-16GB RAM/512GB SSD Win 11 Pro","₦ 400,660","₦ 500,000","35%"
"Hp Stream 11 Intel Celeron 2GB RAM- 32GB HDD WIN 10","₦ 135,000","₦ 468,000","35%"
"Hp Notebook 14 Intel Celeron Dual Core N4020 8GB RAM 1TB HDD WIN 10","₦ 438,000","₦ 180,000","35%"
"Hp Stream 11-Intel Celeron 64gb Ssd/4gb Ram+pouch","₦ 143,000","₦ 200,000","35%"
"Hp Stream 11 Pro- Intel Celeron - 4GB RAM - 64GB SSD Windows 10 Pro+ Mouse & USB LIGHT FOR Keyboard","₦ 170,000","₦ 200,000","35%"
"Hp Stream 11 Pro - 64GB SSD- Intel Celeron  4GB DDR4 RAM WIN10 Pro + USB Light For Keyboard&Mouse","₦ 170,000","₦ 800,000","35%"
"Hp EliteBook 840 G6 Intel Core I5-8GB RAM/512GB SSD/Backlit Keyboard/FP Reader Wins 11 Laptop +BAG","₦ 465,000","₦ 398,450","35%"
"Hp ProBook 11 X360- TOUCH Intel Celeron 256GB 8GB RAM WIN10 Pro+ USB LIGHT FOR KEYBOARD","₦ 395,000","₦ 250,000","35%"
"Hp Stream 11 Laptop- Intel Celeron - 64GB SSD 4GB RAM Windows 10 PRO+ Mouse & USB Light For Keyboard","₦ 155,000","₦ 400,000","35%"
"Hp ProBook 11 X360- TOUCH- 512GB SSD/8GB RAM-Intel CORE I5- Windows 11 + 64GB Flash & BAG","₦ 350,000","₦ 400,000","35%"
"Hp STREAM 11 INTEL CELERON® 4GB RAM 32GB EMMC WIN 10+32GB FLASH","₦ 125,000","₦ 770,900","35%"
"Hp ProBook 11 X360- Intel CELERON LAPTOPS - 128GB SSD-TOUCHSCREEN 4GB RAM Windows10 Pro + Laptop Pouch","₦ 260,000","₦ 220,000","35%"
"Hp EliteBook 840 G6 Intel Core I5 Touchscreen 16GB RAM/1TB SSD/Backlit Keyboard/FP Win 11 Pro","₦ 515,000","₦ 799,000","35%"
"Hp ProBook 11 X360- Intel Pentium 256GB SSD-TOUCHSCREEN 4GB RAM Windows10 Pro + Laptop Pouch","₦ 193,000","₦ 550,000","35%"
